Country,Attack,Midfield,Defense,Rating,WorldCupWins,Caps,HighestStage,Rank
Mexico,79,78,77,78,0,18,3,11
South Korea,78,77,76,77,0,12,4,24
Czechia,76,75,76,76,0,10,2,44
South Africa,68,67,67,67,0,4,0,61
Canada,78,77,76,77,0,3,0,28
Switzerland,83,84,83,83,0,13,3,19
Bosnia,72,71,72,72,0,2,0,64
Qatar,67,66,65,66,0,2,0,58
Scotland,79,79,78,79,0,9,0,37
Morocco,87,86,86,86,0,7,4,6
Brazil,90,90,89,90,5,23,7,5
Haiti,64,64,64,64,0,2,0,85
United States,82,82,81,82,0,12,3,20
Australia,77,76,76,76,0,6,1,29
Türkiye,83,83,82,83,0,10,3,17
Paraguay,78,78,77,78,0,8,3,25
Germany,91,90,89,90,4,22,7,4
Ivory Coast,84,84,83,84,0,6,3,18
Ecuador,81,81,80,81,0,5,2,22
Curaçao,62,62,61,62,0,1,0,90
Sweden,85,85,84,85,0,12,6,13
Japan,86,86,84,85,0,8,2,15
Netherlands,89,89,88,89,0,19,6,7
Tunisia,76,76,75,76,0,6,1,32
New Zealand,66,66,66,66,0,3,0,80
Iran,76,75,75,75,0,7,1,26
Belgium,86,85,84,85,0,15,3,4
Egypt,78,77,77,77,0,7,2,23
Uruguay,88,87,86,87,2,19,7,9
Saudi Arabia,75,74,74,74,0,6,2,33
Spain,91,90,89,90,1,21,7,6
Cabo Verde,68,68,67,68,0,1,0,70
Norway,83,84,82,83,0,4,2,27
France,92,91,90,91,2,17,7,2
Senegal,84,84,83,84,0,4,3,16
Iraq,63,63,63,63,0,2,0,60
Argentina,92,91,90,91,3,22,7,1
Algeria,80,79,79,79,0,7,2,21
Austria,82,82,81,82,0,5,1,30
Jordan,67,67,66,67,0,1,0,75
Colombia,85,85,84,85,0,10,3,14
DR Congo,73,73,72,73,0,2,0,55
Portugal,90,89,88,89,0,18,6,8
Uzbekistan,72,72,71,72,0,2,0,65
Croatia,87,87,86,87,0,12,6,12
England,91,89,89,90,1,20,6,3
Ghana,78,78,77,78,0,6,3,31
Panama,71,71,70,71,0,2,1,45
